playlist_id,title,description,published_at,total_videos,playlist_url
PLWKjhJtqVAblzbwhT83fRh5nNSHqywxrw,Networks,,2016-09-17,10,https://www.youtube.com/playlist?list=PLWKjhJtqVAblzbwhT83fRh5nNSHqywxrw
PLWKjhJtqVAbl5SlE6aBHzUVZ1e6q1Wz0v,Mathematics,,2020-07-22,10,https://www.youtube.com/playlist?list=PLWKjhJtqVAbl5SlE6aBHzUVZ1e6q1Wz0v
PLWKjhJtqVAbkyK9woUZUtunToLtNGoQHB,jQuery - Beau teaches JavaScript,,2017-07-17,10,https://www.youtube.com/playlist?list=PLWKjhJtqVAbkyK9woUZUtunToLtNGoQHB
PLWKjhJtqVAbljtmmeS0c-CEl2LdE-eR_F,ES6 - Beau teaches JavaScript,,2017-02-27,10,https://www.youtube.com/playlist?list=PLWKjhJtqVAbljtmmeS0c-CEl2LdE-eR_F
PLWKjhJtqVAbnSe1qUNMG7AbPmjIG54u88,HTML and CSS Tutorials,A collection of HTML tutorials.,2018-10-15,10,https://www.youtube.com/playlist?list=PLWKjhJtqVAbnSe1qUNMG7AbPmjIG54u88
PLWKjhJtqVAbk7zM11M36sGvU29hB8EDC4,The Daily Programmer,,2017-07-14,9,https://www.youtube.com/playlist?list=PLWKjhJtqVAbk7zM11M36sGvU29hB8EDC4
PLWKjhJtqVAbmGw5fN5BQlwuug-8bDmabi,Introduction to Computer Science - Harvard's CS50,,2019-01-22,9,https://www.youtube.com/playlist?list=PLWKjhJtqVAbmGw5fN5BQlwuug-8bDmabi
PLWKjhJtqVAbm0gPNunWf4pr4xV8I3Geh-,Agile Software Development,,2017-07-04,9,https://www.youtube.com/playlist?list=PLWKjhJtqVAbm0gPNunWf4pr4xV8I3Geh-
PLWKjhJtqVAbleDe3_ZA8h3AO2rXar-q2V,JavaScript Tutorials,A collection of JavaScript tutorials.,2018-12-07,9,https://www.youtube.com/playlist?list=PLWKjhJtqVAbleDe3_ZA8h3AO2rXar-q2V
PLWKjhJtqVAbkPX-lJHxjXdsw19vbXIZpz,Vue.js Live Coding with Gwen,,2020-07-30,8,https://www.youtube.com/playlist?list=PLWKjhJtqVAbkPX-lJHxjXdsw19vbXIZpz
PLWKjhJtqVAblNvGKk6aQVPAJHxrRXxHTs,Angular Tutorials,,2018-12-18,8,https://www.youtube.com/playlist?list=PLWKjhJtqVAblNvGKk6aQVPAJHxrRXxHTs
PLWKjhJtqVAbmGQoa3vFjeRbRADAOC9drk,Node.js Tutorials,,2018-12-17,8,https://www.youtube.com/playlist?list=PLWKjhJtqVAbmGQoa3vFjeRbRADAOC9drk
PLWKjhJtqVAbkK24EaPurzMq0-kw5U9pJh,Clean Code - Beau teaches JavaScript,,2017-02-27,8,https://www.youtube.com/playlist?list=PLWKjhJtqVAbkK24EaPurzMq0-kw5U9pJh
PLWKjhJtqVAbmUE5IqyfGYEYjrZBYzaT4m,C / C++,,2021-09-27,8,https://www.youtube.com/playlist?list=PLWKjhJtqVAbmUE5IqyfGYEYjrZBYzaT4m
PLWKjhJtqVAbmSg8HtUEs0SJ-mzBIN3nEm,A day at...,,2017-07-05,8,https://www.youtube.com/playlist?list=PLWKjhJtqVAbmSg8HtUEs0SJ-mzBIN3nEm
PLWKjhJtqVAbkXQS12WiLsH1oaNZBSoWuV,Serverless,,2018-07-18,7,https://www.youtube.com/playlist?list=PLWKjhJtqVAbkXQS12WiLsH1oaNZBSoWuV
PLWKjhJtqVAblKO_wHAvlpZwAYvYPbHKOp,Front End Web Development,"Learn the basics of front end web development from freeCodeCamp.org. You will learn everything you need to know to start creating websites, including ",2025-04-18,7,https://www.youtube.com/playlist?list=PLWKjhJtqVAblKO_wHAvlpZwAYvYPbHKOp
PLWKjhJtqVAbnQ048Pa8sAqJoVRhx8TJtM,Some of our Nonprofit Projects,,2016-04-17,7,https://www.youtube.com/playlist?list=PLWKjhJtqVAbnQ048Pa8sAqJoVRhx8TJtM
PLWKjhJtqVAbmh6kzCSUon-SoTaMvXnHMB,Unity Tutorials,A collection of Unity tutorials.,2018-12-18,7,https://www.youtube.com/playlist?list=PLWKjhJtqVAbmh6kzCSUon-SoTaMvXnHMB
PLWKjhJtqVAbnklGh3FNRLECx_2D_vK3mu,Ethical Hacking,,2019-01-16,7,https://www.youtube.com/playlist?list=PLWKjhJtqVAbnklGh3FNRLECx_2D_vK3mu
PLWKjhJtqVAbnadueQ-C5keMQQiQau_i0D,Full Stack Web App in Vue.js & Express.js,,2017-09-06,7,https://www.youtube.com/playlist?list=PLWKjhJtqVAbnadueQ-C5keMQQiQau_i0D
PLWKjhJtqVAbnRT_hue-3zyiuIYj0OlpyG,Java Tutorials,,2019-05-21,7,https://www.youtube.com/playlist?list=PLWKjhJtqVAbnRT_hue-3zyiuIYj0OlpyG
PLWKjhJtqVAbmR4Wi1LxJsx0Tnx3qugnrU,Brain Computer App with React Native - Live Coding with Jesse,,2020-03-28,7,https://www.youtube.com/playlist?list=PLWKjhJtqVAbmR4Wi1LxJsx0Tnx3qugnrU
PLWKjhJtqVAblvI1i46ScbKV2jH1gdL7VQ,Data Analysis with Python Course,,2020-08-13,6,https://www.youtube.com/playlist?list=PLWKjhJtqVAblvI1i46ScbKV2jH1gdL7VQ
PLWKjhJtqVAblv09G3sFgRMSeR0jnKQmJ9,Coding Interview,,2019-04-12,6,https://www.youtube.com/playlist?list=PLWKjhJtqVAblv09G3sFgRMSeR0jnKQmJ9
PLWKjhJtqVAbm3T2Eq1_KgloC7ogdXxdRa,Deep Learning with PyTorch Live Course,,2020-05-26,6,https://www.youtube.com/playlist?list=PLWKjhJtqVAbm3T2Eq1_KgloC7ogdXxdRa
PLWKjhJtqVAblMiJPkJBny7WbfTYc6z27r,Alexa Skill Development,,2018-07-13,5,https://www.youtube.com/playlist?list=PLWKjhJtqVAblMiJPkJBny7WbfTYc6z27r
PLWKjhJtqVAbm5dir5TLEy2aZQMG7cHEZp,Deep Learning with PyTorch Course - December 2020,,2020-12-04,4,https://www.youtube.com/playlist?list=PLWKjhJtqVAbm5dir5TLEy2aZQMG7cHEZp
PLWKjhJtqVAbnZtkAI3BqcYxKnfWn_C704,Design Patterns - Beau teaches JavaScript,,2017-02-27,4,https://www.youtube.com/playlist?list=PLWKjhJtqVAbnZtkAI3BqcYxKnfWn_C704
PLWKjhJtqVAbnUeereoJWjWOhlcWUynq_Z,Ask Preethi,,2017-07-04,4,https://www.youtube.com/playlist?list=PLWKjhJtqVAbnUeereoJWjWOhlcWUynq_Z
PLWKjhJtqVAbkoMsX4hgwxbJZW4aB0cbaB,PHP Tutorials,,2019-05-07,3,https://www.youtube.com/playlist?list=PLWKjhJtqVAbkoMsX4hgwxbJZW4aB0cbaB
PLWKjhJtqVAblFnET3DbnAik--u4CBz62G,Django Tutorials,,2019-04-23,3,https://www.youtube.com/playlist?list=PLWKjhJtqVAblFnET3DbnAik--u4CBz62G
PLWKjhJtqVAbnon7MZndnKeGEfQbXjwOqd,WordPress,,2019-03-11,3,https://www.youtube.com/playlist?list=PLWKjhJtqVAbnon7MZndnKeGEfQbXjwOqd
PLWKjhJtqVAbmqk3-E3MPFVoWMufdbR4qW,Logic for Programmers,,2018-08-20,2,https://www.youtube.com/playlist?list=PLWKjhJtqVAbmqk3-E3MPFVoWMufdbR4qW
PLWKjhJtqVAbkq5Oh8ERRJ1aPZK2NKBSRx,C# Tutorials,,2019-03-25,2,https://www.youtube.com/playlist?list=PLWKjhJtqVAbkq5Oh8ERRJ1aPZK2NKBSRx
PLWKjhJtqVAbkE0Or3HVMRTy-mq_wFUNVv,Vue.js,,2019-03-19,2,https://www.youtube.com/playlist?list=PLWKjhJtqVAbkE0Or3HVMRTy-mq_wFUNVv
PLWKjhJtqVAbko4Ob-wS8spASazBNlf4tT,Senior Developer Skills,,2016-10-30,2,https://www.youtube.com/playlist?list=PLWKjhJtqVAbko4Ob-wS8spASazBNlf4tT
PLWKjhJtqVAbmnstg9rF7jCo1LO3hC7p4r,Resume Reviews,,2018-10-30,2,https://www.youtube.com/playlist?list=PLWKjhJtqVAbmnstg9rF7jCo1LO3hC7p4r
PLWKjhJtqVAbloeeXn1-G1qKQLr006B9n6,Top Contributor Parties,,2018-09-28,1,https://www.youtube.com/playlist?list=PLWKjhJtqVAbloeeXn1-G1qKQLr006B9n6
PLWKjhJtqVAbkfiXnJ3BRB9kFO-IUV4vWg,freeCodeCamp Hackathon,,2018-11-15,1,https://www.youtube.com/playlist?list=PLWKjhJtqVAbkfiXnJ3BRB9kFO-IUV4vWg
PLWKjhJtqVAbkPz27wpMpBdNbF8wzH_lWh,App Development Tutorials,,2019-05-17,1,https://www.youtube.com/playlist?list=PLWKjhJtqVAbkPz27wpMpBdNbF8wzH_lWh
PLWKjhJtqVAbmfeXEWjfX3PmcMPVeGEc-0,Developer Ethics,,2017-06-05,0,https://www.youtube.com/playlist?list=PLWKjhJtqVAbmfeXEWjfX3PmcMPVeGEc-0
